subject,runIndex,fatigue_baseline,fatigue_after,motivation_baseline,motivation_after,confidence_baseline,confidence_after,AMI_total,AMI_behavioural,AMI_emotional,AMI_social,age,musician,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,track_19,track_20,track_21,track_22,track_23,track_24,track_25,track_26,track_27,track_28,track_29,track_30,track_31,track_32,track_33,track_34,track_35,track_36,track_37,track_38,track_39,track_40
11 6,1,19.67592592,20.7175926,81.01851852,71.06481482,70.25462962,91.08796296,31,7,13,11,30,No,21,19,17,15,13,12,11,10,9,11,13,13,13,12,12,12,11,12,13,13,13,12,12,12,11,12,13,13,13,14,14,14,13,13,13,14,14,14,13,13
11 6,2,19.67592592,20.7175926,81.01851852,71.06481482,70.25462962,91.08796296,31,7,13,11,30,No,21,19,17,15,13,12,11,10,12,12,12,11,11,12,12,12,11,11,12,12,12,13,13,13,12,12,13,13,13,12,12,12,13,14,14,14,15,15,15,14
11 6,3,19.67592592,20.7175926,81.01851852,71.06481482,70.25462962,91.08796296,31,7,13,11,30,No,21,19,17,15,13,12,11,10,12,12,12,11,11,11,12,12,12,11,11,11,10,10,11,12,12,12,11,12,12,12,11,12,12,12,11,11,11,12,12,13
11 7,1,54.62528936,40.85141782,60.20399306,65.59823496,59.87123842,49.87702546,32,10,8,14,28,No,21,19,17,19,19,19,18,18,18,17,17,17,16,16,16,15,15,15,14,14,14,13,13,13,12,13,13,13,12,12,13,13,13,14,14,14,13,13,13,12
11 7,2,54.62528936,40.85141782,60.20399306,65.59823496,59.87123842,49.87702546,32,10,8,14,28,No,21,19,17,15,13,15,15,15,14,15,15,15,16,16,16,15,16,16,16,17,18,18,18,17,17,17,16,16,17,17,17,16,16,16,15,15,15,14,14,14
11 7,3,54.62528936,40.85141782,60.20399306,65.59823496,59.87123842,49.87702546,32,10,8,14,28,No,21,19,17,15,13,15,15,15,14,15,15,15,14,15,15,15,16,16,16,15,15,15,16,16,16,15,15,15,14,14,14,13,13,13,12,12,12,11,11,12
11 8,1,75.96299914,75.92683016,76.63800274,66.95285374,22.53011068,49.1152163,21,3,10,8,35,No,21,19,17,15,17,17,17,16,16,16,15,15,15,14,14,14,13,13,13,14,14,15,15,15,14,15,15,16,16,17,17,17,16,16,16,15,15,15,14,14
11 8,2,75.96299914,75.92683016,76.63800274,66.95285374,22.53011068,49.1152163,21,3,10,8,35,No,21,21,19,17,15,13,15,17,19,19,20,20,20,19,19,19,18,18,18,17,18,18,18,17,17,17,16,17,17,18,18,18,17,17,17,16,16,16,15,15
11 8,3,75.96299914,75.92683016,76.63800274,66.95285374,22.53011068,49.1152163,21,3,10,8,35,No,21,21,21,19,17,15,17,19,19,19,18,18,19,19,19,18,18,18,17,17,17,16,16,16,15,16,16,17,17,17,16,16,16,15,15,15,14,15,16,16
11 9,1,NaN,NaN,NaN,NaN,NaN,NaN,29,13,4,12,26,Yes,21,19,17,15,13,12,11,13,13,14,14,14,13,13,14,14,14,13,14,14,14,13,14,14,14,15,15,15,14,14,14,13,14,14,14,13,14,14,14,13
11 9,2,NaN,NaN,NaN,NaN,NaN,NaN,29,13,4,12,26,Yes,21,19,17,15,13,12,11,10,9,8,10,12,12,13,13,13,12,13,13,13,14,14,14,13,13,13,12,12,13,13,13,12,12,12,13,13,13,14,15,16
11 9,3,NaN,NaN,NaN,NaN,NaN,NaN,29,13,4,12,26,Yes,21,19,17,15,13,12,11,13,13,13,12,12,12,11,12,12,13,13,13,14,14,15,15,15,16,16,16,15,15,15,14,14,14,13,13,13,12,13,14,14
11 10,1,16.2037037,45.52469136,79.62962962,49.84567902,50.30864198,72.3765432,35,17,7,11,20,Not applicable (never played any instruments),21,19,17,15,13,12,11,10,12,12,12,11,11,11,10,11,11,12,12,12,13,13,13,14,14,14,13,13,13,12,12,12,11,12,13,13,14,14,14,13
11 10,2,16.2037037,45.52469136,79.62962962,49.84567902,50.30864198,72.3765432,35,17,7,11,20,Not applicable (never played any instruments),21,19,17,15,13,12,14,14,14,15,15,15,14,15,15,16,17,17,17,16,16,16,15,15,15,14,14,14,13,13,13,12,12,13,14,14,14,13,13,13
11 10,3,16.2037037,45.52469136,79.62962962,49.84567902,50.30864198,72.3765432,35,17,7,11,20,Not applicable (never played any instruments),21,19,17,15,13,15,15,15,14,14,14,13,13,13,12,12,13,13,13,12,12,12,11,11,11,12,12,12,13,13,14,15,16,16,16,15,15,16,16,16
11 11,1,0.30864434,0.1543257,99.53703704,99.53703704,79.78395532,79.93828102,32,10,5,17,26,No,21,19,17,15,13,12,11,10,9,8,10,10,10,9,10,11,12,12,13,13,13,12,12,13,13,13,12,13,13,13,12,12,13,13,13,12,12,12,11,12
11 11,2,0.30864434,0.1543257,99.53703704,99.53703704,79.78395532,79.93828102,32,10,5,17,26,No,21,19,17,15,13,15,15,15,14,14,14,13,14,14,15,15,16,16,16,15,15,15,14,14,14,13,14,14,14,13,14,14,14,15,15,15,14,14,14,13
11 11,3,0.30864434,0.1543257,99.53703704,99.53703704,79.78395532,79.93828102,32,10,5,17,26,No,21,19,17,15,13,12,11,10,9,8,10,10,10,9,9,10,10,11,11,11,10,10,11,11,11,10,11,12,12,12,11,12,12,12,11,11,11,12,12,12
11 12,1,67.5925926,65.43209876,42.4382716,39.35185186,59.56790124,59.72222222,26,8,8,10,29,Not applicable (never played any instruments),21,19,17,15,13,12,11,13,15,15,15,14,15,15,16,16,16,15,15,15,14,14,14,15,15,15,14,14,14,13,13,13,12,13,13,13,12,12,12,11
11 12,2,67.5925926,65.43209876,42.4382716,39.35185186,59.56790124,59.72222222,26,8,8,10,29,Not applicable (never played any instruments),21,19,17,15,13,15,15,15,14,14,14,13,13,14,14,14,13,13,13,12,12,13,14,14,15,15,15,16,16,16,15,15,15,14,15,15,15,16,16,16
11 12,3,67.5925926,65.43209876,42.4382716,39.35185186,59.56790124,59.72222222,26,8,8,10,29,Not applicable (never played any instruments),21,19,17,15,13,12,11,13,15,15,15,14,14,15,15,15,14,14,14,15,15,15,14,14,14,13,13,14,14,15,15,15,14,14,14,13,13,13,12,12
